Country,GDP,GDP.Per.Capita,GDP.Share,GDP.Rank,GDP.PPP,GDP.PPP.Share,GDP.PPP.Rank
Afghanistan,20.57,565.00,0.03,112,67.46,0.05,102
Albania,12.29,4203.00,0.02,125,36.2,0.03,121
Algeria,173.95,3944.00,0.22,55,634.75,0.5,36
Angola,122.37,3502.00,0.16,60,193.94,0.15,65
Antigua and Barbuda,1.45,15488.00,0,172,2.37,0,173
Argentina,628.94,12503.00,0.81,21,912.82,0.72,27
Armenia,10.74,3511.00,0.01,133,27.12,0.02,135
Australia,1359.72,51850.00,1.74,13,1251.42,0.99,19
Austria,383.51,44498.00,0.49,30,432.42,0.34,45
Azerbaijan,38.58,3956.00,0.05,94,167.43,0.13,73
Bahrain,34.31,24183.00,0.04,97,69.92,0.06,97
Bangladesh,248.85,1411.00,0.32,45,686.6,0.54,33
Barbados,4.76,16363.00,0.01,153,4.98,0,163
Belarus,54.69,5143.00,0.07,79,173.41,0.14,72
Belgium,462.72,41283.00,0.59,25,529.29,0.42,37
Belize,1.83,4636.00,0,168,3.25,0,170
Benin,8.79,771.00,0.01,139,25.41,0.02,137
Bhutan,2.31,2674.00,0,164,7.05,0.01,160
Bolivia,39.27,3197.00,0.05,93,83.61,0.07,92
Bosnia and Herzegovina,16.78,4308.00,0.02,114,44.46,0.04,111
Botswana,15.56,6972.00,0.02,115,39.05,0.03,117
Brazil,2140.94,8727.00,2.75,8,3216.03,2.54,8
Brunei Darussalam,12.33,26424.00,0.02,124,32.84,0.03,124
Bulgaria,52.29,7369.00,0.07,82,152.08,0.12,76
Burkina Faso,12.26,646.00,0.02,126,35.6,0.03,123
Burundi,3.38,325.00,0,161,8.02,0.01,157
Cape Verde,1.64,3078.00,0,169,3.76,0,166
Cambodia,20.95,1230.00,0.03,111,64.41,0.05,104
Cameroon,29.55,1238.00,0.04,98,81.54,0.06,93
Canada,1600.27,42210.00,2.05,10,1752.91,1.38,17
Central African Republic,1.99,364.00,0,167,3.41,0,169
Chad,9.64,852.00,0.01,136,29.73,0.02,130
Chile,251.22,13576.00,0.32,44,455.94,0.36,43
China,11795.3,8113.00,15.1,2,23194.41,18.3,1
Colombia,306.44,5792.00,0.39,37,720.15,0.57,31
Comoros,0.65,753.00,0,182,1.33,0,178
Costa Rica,59.8,11835.00,0.08,76,85.78,0.07,91
Croatia,50.08,12095.00,0.06,84,100.01,0.08,84
Cyprus,19.65,23352.00,0.03,113,31.09,0.02,126
Czech Republic,196.07,18286.00,0.25,51,368.66,0.29,49
Democratic Republic of the Congo,41.1,495.00,0.05,90,68.33,0.05,100
Denmark,304.22,53744.00,0.39,38,284.04,0.22,60
Djibouti,2.09,1908.00,0,166,3.66,0,167
Dominica,0.54,7356.00,0,183,0.85,0,182
Dominican Republic,76.85,7159.00,0.1,69,174.18,0.14,71
Ecuador,97.36,5930.00,0.13,64,184.63,0.15,69
Egypt,294.11,3685.00,0.38,40,1197.97,0.95,21
El Salvador,27.55,4343.00,0.04,101,57.29,0.05,106
Equatorial Guinea,11.69,14174.00,0.02,129,30.81,0.02,127
Eritrea,6.05,823.00,0.01,149,9.68,0.01,154
Estonia,23.42,17633.00,0.03,104,40.28,0.03,114
Ethiopia,78.38,795.00,0.1,68,194.98,0.15,64
Fiji,4.87,5182.00,0.01,151,8.8,0.01,156
Finland,234.52,43169.00,0.3,46,239.66,0.19,62
France,2420.44,38128.00,3.1,7,2833.06,2.24,10
Macedonia,10.95,5263.00,0.01,132,31.92,0.03,125
Gabon,14.21,7587.00,0.02,121,37,0.03,120
Georgia,13.72,3842.00,0.02,123,39.32,0.03,116
Germany,3423.29,41902.00,4.39,4,4134.67,3.26,5
Ghana,42.75,1514.00,0.05,88,131.5,0.1,79
Greece,193.1,17901.00,0.25,52,302.15,0.24,57
Grenada,1.09,9585.00,0,176,1.59,0,176
Guatemala,70.94,4089.00,0.09,73,138.99,0.11,77
Guinea,6.94,515.00,0.01,145,17.06,0.01,149
Guinea-Bissau,1.17,694.00,0,175,3.09,0,171
Guyana,3.59,4475.00,0,159,6.4,0.01,161
Haiti,7.9,761.00,0.01,141,19.98,0.02,144
Honduras,21.79,2609.00,0.03,108,45.63,0.04,108
Hong Kong,332.27,43528.00,0.43,33,449.59,0.36,44
Hungary,125.3,12778.00,0.16,59,284.27,0.22,59
Iceland,22.97,59629.00,0.03,107,17.85,0.01,147
India,2454.46,1723.00,3.15,6,9489.3,7.49,3
Indonesia,1020.52,3604.00,1.31,15,3257.12,2.57,7
Iraq,189.43,4631.00,0.24,54,641.01,0.51,35
Ireland,294.19,62562.00,0.38,39,343.68,0.27,52
Iran,368.49,4683.00,0.47,31,1535.49,1.21,18
Israel,339.99,37262.00,0.44,32,316.12,0.25,54
Italy,1807.43,30507.00,2.32,9,2303.11,1.82,12
Côte d'Ivoire,36.87,1459.00,0.05,96,95.89,0.08,85
Jamaica,14.27,4931.00,0.02,120,26.47,0.02,136
Japan,4841.22,38917.00,6.21,3,5420.23,4.28,4
Jordan,40.51,5554.00,0.05,91,89.56,0.07,88
Kazakhstan,157.88,7453.00,0.2,57,472.56,0.37,41
Kenya,75.1,1516.00,0.1,70,164.34,0.13,74
Kiribati,0.17,1437.00,0,189,0.22,0,188
Republic of Korea,1498.07,27539.00,1.92,12,2029.71,1.6,14
Kosovo,6.81,3661.00,0.01,147,19.51,0.02,145
Kuwait,126.97,26005.00,0.16,58,309.64,0.24,56
Kyrgyzstan,6.85,1073.00,0.01,146,22.74,0.02,139
Lao PDR,14.97,1925.00,0.02,118,44.64,0.04,110
Latvia,27.8,14060.00,0.04,100,53.27,0.04,107
Lebanon,53.92,11309.00,0.07,81,88.79,0.07,89
Lesotho,2.44,1170.00,0,163,7.29,0.01,159
Liberia,2.22,480.00,0,165,3.96,0,165
Libya,54.41,5193.00,0.07,80,87.07,0.07,90
Lithuania,42.83,14890.00,0.05,87,90.39,0.07,87
Luxembourg,60,103199.00,0.08,75,63.55,0.05,105
Macao,45.73,67079.00,0.06,85,65.73,0.05,103
Madagascar,10.37,391.00,0.01,134,40.06,0.03,115
Malawi,6.18,295.00,0.01,148,22.58,0.02,140
Malaysia,309.86,9360.00,0.4,36,922.06,0.73,26
Maldives,3.58,9554.00,0,160,5.85,0,162
Mali,14.34,830.00,0.02,119,40.97,0.03,113
Malta,11.16,25214.00,0.01,131,18.4,0.01,146
Marshall Islands,0.19,3338.00,0,188,0.19,0,189
Mauritania,5.06,1243.00,0.01,150,17.42,0.01,148
Mauritius,12.25,9424.00,0.02,127,27.51,0.02,133
Mexico,987.3,8555.00,1.27,16,2406.2,1.9,11
Federated States of Micronesia,0.33,3150.00,0,186,0.35,0,186
Moldova,7.41,1901.00,0.01,143,20.21,0.02,143
Mongolia,10.27,3660.00,0.01,135,37.73,0.03,118
Montenegro,4.19,6629.00,0.01,155,10.93,0.01,153
Morocco,105.62,3063.00,0.14,62,300.56,0.24,58
Mozambique,11.17,392.00,0.01,130,37.32,0.03,119
Myanmar,72.37,1269.00,0.09,71,334.86,0.26,53
Namibia,11.77,4630.00,0.02,128,27.45,0.02,134
Nauru,0.11,7824.00,0,190,0.16,0,190
Nepal,23.32,733.00,0.03,105,77.15,0.06,95
Netherlands,762.69,45283.00,0.98,18,907.62,0.72,28
New Zealand,198.04,38345.00,0.25,50,186.48,0.15,68
Nicaragua,13.75,2120.00,0.02,122,35.84,0.03,122
Niger,7.67,411.00,0.01,142,21.66,0.02,141
Nigeria,400.62,2211.00,0.51,28,1124.63,0.89,23
Norway,391.96,70392.00,0.5,29,377.1,0.3,48
Oman,71.33,15964.00,0.09,72,189.58,0.15,66
Pakistan,251.49,1428.00,0.32,43,1060.57,0.84,25
Palau,0.32,16222.00,0,187,0.3,0,187
Panama,59.49,13654.00,0.08,77,100.51,0.08,83
Papua New Guinea,21.19,2528.00,0.03,110,29.48,0.02,131
Paraguay,28.74,4003.00,0.04,99,68.01,0.05,101
Peru,207.07,6199.00,0.27,48,429.71,0.34,46
Philippines,329.72,2924.00,0.42,34,878.98,0.69,29
Poland,482.92,12316.00,0.62,24,1114.11,0.88,24
Portugal,202.77,19832.00,0.26,49,310.65,0.25,55
Puerto Rico,99.73,29697.00,0.13,63,129.85,0.1,80
Qatar,173.65,60787.00,0.22,56,347.89,0.28,51
Republic of Congo,8.34,1784.00,0.01,140,30.61,0.02,128
Romania,189.79,9465.00,0.24,53,470.31,0.37,42
Russian Federation,1560.71,8929.00,2,11,3938,3.11,6
Rwanda,8.92,729.00,0.01,138,24.72,0.02,138
Samoa,0.84,4035.00,0,179,1.13,0,181
San Marino,1.55,46447.00,0,170,2.09,0,175
São Tomé and Principe,0.36,1687.00,0,185,0.69,0,184
Saudi Arabia,707.38,20150.00,0.91,19,1796.21,1.42,15
Senegal,15.43,960.00,0.02,116,43.33,0.03,112
Serbia,37.74,5376.00,0.05,95,107.13,0.08,81
Seychelles,1.48,14938.00,0,171,2.76,0,172
Sierra Leone,4.09,618.00,0.01,156,11.55,0.01,151
Singapore,291.86,52961.00,0.37,41,514.84,0.41,39
Slovakia,89.13,16499.00,0.11,66,179.53,0.14,70
Slovenia,43.5,21320.00,0.06,86,69.36,0.05,98
Solomon Islands,1.25,1971.00,0,174,1.25,0,180
South Africa,317.57,5261.00,0.41,35,761.93,0.6,30
South Sudan,4.81,233.00,0.01,152,20.42,0.02,142
Spain,1232.44,26609.00,1.58,14,1768.82,1.4,16
Sri Lanka,84.02,3887.00,0.11,67,278.42,0.22,61
Saint Kitts and Nevis,0.95,16058.00,0,178,1.54,0,177
Saint Lucia,1.43,7940.00,0,173,2.11,0,174
Saint Vincent and the Grenadines,0.81,7038.00,0,181,1.3,0,179
Sudan,115.87,2384.00,0.15,61,186.72,0.15,67
Suriname,3.64,6333.00,0,158,7.96,0.01,158
Swaziland,3.94,3330.00,0.01,157,11.35,0.01,152
Sweden,507.05,51165.00,0.65,23,522.85,0.41,38
Switzerland,659.37,79242.00,0.85,20,514.16,0.41,40
Taiwan,566.76,22453.00,0.73,22,1177.05,0.93,22
Tajikistan,7.24,800.00,0.01,144,27.8,0.02,132
Tanzania,51.19,970.00,0.07,83,163.52,0.13,75
Thailand,432.9,5899.00,0.56,26,1226.41,0.97,20
Bahamas,9.17,24272.00,0.01,137,9.37,0.01,155
The Gambia,1.04,469.00,0,177,3.61,0,168
Timor-Leste,2.73,2102.00,0,162,4.57,0,164
Togo,4.55,590.00,0.01,154,12.49,0.01,150
Tonga,0.42,3856.00,0,184,0.6,0,185
Trinidad and Tobago,21.75,15342.00,0.03,109,44.65,0.04,109
Tunisia,40.29,3730.00,0.05,92,136.8,0.11,78
Turkey,793.7,10743.00,1.02,17,2082.08,1.64,13
Turkmenistan,42.36,6622.00,0.05,89,103.99,0.08,82
Uganda,27.17,638.00,0.03,103,91.21,0.07,86
Ukraine,95.93,2194.00,0.12,65,368.05,0.29,50
United Arab Emirates,407.21,37678.00,0.52,27,693.77,0.55,32
United Kingdom,2496.76,40096.00,3.2,5,2905.39,2.29,9
United States,19417.14,57436.00,24.9,1,19417.14,15.3,2
Uruguay,58.12,15679.00,0.07,78,77.8,0.06,94
Uzbekistan,68.32,2122.00,0.09,74,222.79,0.18,63
Vanuatu,0.83,2815.00,0,180,0.77,0,183
Venezuela,251.59,9258.00,0.32,42,404.11,0.32,47
Vietnam,215.83,2173.00,0.28,47,648.24,0.51,34
Yemen,27.19,938.00,0.03,102,74.25,0.06,96
Zambia,23.14,1275.00,0.03,106,68.65,0.05,99
Zimbabwe,15.29,977.00,0.02,117,29.8,0.02,129
